code,trade_date,qfq_open,qfq_high,qfq_low,qfq_close,volume,ma5,ma10,ma20,k_value,d_value,j_value,dif,dea,macd,cap_bucket
600519.SH,2024-01-02,9.98,10.1,9.88,10.0,1000,9.9,9.8,10.0,50,49,55,0.1,0.09,0.02,large
600519.SH,2024-01-03,10.0,10.2,9.9,10.1,1000,10.0,9.9,10.0,50,49,55,0.1,0.09,0.02,large
600519.SH,2024-01-04,10.1,10.3,10.0,10.2,1000,10.1,10.0,10.0,50,49,55,0.1,0.09,0.02,large
600519.SH,2024-01-05,10.2,10.3,10.0,10.1,1000,10.0,9.9,10.0,50,49,55,0.1,0.09,0.02,large
600519.SH,2024-01-08,10.1,10.2,9.9,10.0,1000,9.9,9.8,10.0,50,49,55,0.1,0.09,0.02,large
600519.SH,2024-01-09,10.0,10.15,9.9,10.05,1000,9.95,9.85,10.0,50,49,55,0.1,0.09,0.02,large
600519.SH,2024-01-10,10.05,10.15,9.92,10.02,1000,9.92,9.82,10.0,50,49,55,0.1,0.09,0.02,large
600519.SH,2024-01-11,10.02,10.12,9.9,10.0,1000,9.9,9.8,10.0,50,49,55,0.1,0.09,0.02,large
600519.SH,2024-01-12,10.0,10.11,9.9,10.01,1000,9.91,9.81,10.0,50,49,55,0.1,0.09,0.02,large
600519.SH,2024-01-15,10.01,10.12,9.91,10.02,1000,9.92,9.82,10.0,50,49,55,0.1,0.09,0.02,large
