code,trade_date,qfq_open,qfq_high,qfq_low,qfq_close,volume,ma5,ma10,ma20,k_value,d_value,j_value,dif,dea,macd,cap_bucket
600519.SH,2024-01-02,10.0,10.1,9.9,10.0,1000,10.0,10.0,10.0,50,49,55,0.1,0.09,0.02,large
600519.SH,2024-01-03,10.0,10.1,9.9,10.01,1000,10.0,10.0,10.0,50,49,55,0.1,0.09,0.02,large
600519.SH,2024-01-04,10.0,10.1,9.9,10.0,1000,10.0,10.0,10.0,50,49,55,0.1,0.09,0.02,large
600519.SH,2024-01-05,10.0,10.1,9.9,10.02,1000,10.0,10.0,10.0,50,49,55,0.1,0.09,0.02,large
600519.SH,2024-01-08,10.0,10.1,9.9,10.01,1000,10.0,10.0,10.0,50,49,55,0.1,0.09,0.02,large
600519.SH,2024-01-09,10.0,10.1,9.9,10.0,1000,10.0,10.0,10.0,50,49,55,0.1,0.09,0.02,large
600519.SH,2024-01-10,10.0,10.1,9.9,10.01,1000,10.0,10.0,10.0,50,49,55,0.1,0.09,0.02,large
600519.SH,2024-01-11,10.0,10.1,9.9,10.0,1000,10.0,10.0,10.0,50,49,55,0.1,0.09,0.02,large
600519.SH,2024-01-12,10.0,10.1,9.9,10.01,1000,10.0,10.0,10.0,50,49,55,0.1,0.09,0.02,large
600519.SH,2024-01-15,10.0,10.1,9.9,10.0,1000,10.0,10.0,10.0,50,49,55,0.1,0.09,0.02,large
600519.SH,2024-01-16,10.0,10.1,9.9,10.01,1000,10.0,10.0,10.0,50,49,55,0.1,0.09,0.02,large
600519.SH,2024-01-17,10.0,10.1,9.9,10.0,1000,10.0,10.0,10.0,50,49,55,0.1,0.09,0.02,large
600519.SH,2024-01-18,10.0,10.1,9.9,10.02,1000,10.0,10.0,10.0,50,49,55,0.1,0.09,0.02,large
600519.SH,2024-01-19,10.0,10.1,9.9,10.01,1000,10.0,10.0,10.0,50,49,55,0.1,0.09,0.02,large
600519.SH,2024-01-22,10.0,10.1,9.9,10.0,1000,10.0,10.0,10.0,50,49,55,0.1,0.09,0.02,large
600519.SH,2024-01-23,10.0,10.1,9.9,10.01,1000,10.0,10.0,10.0,50,49,55,0.1,0.09,0.02,large
600519.SH,2024-01-24,10.0,10.1,9.9,10.0,1000,10.0,10.0,10.0,50,49,55,0.1,0.09,0.02,large
600519.SH,2024-01-25,10.0,10.1,9.9,10.01,1000,10.0,10.0,10.0,50,49,55,0.1,0.09,0.02,large
600519.SH,2024-01-26,10.0,10.1,9.9,10.0,1000,10.0,10.0,10.0,50,49,55,0.1,0.09,0.02,large
600519.SH,2024-01-29,10.0,10.1,9.9,10.01,1000,10.0,10.0,10.0,50,49,55,0.1,0.09,0.02,large
600519.SH,2024-01-30,10.0,10.1,9.9,10.0,1000,10.0,10.0,10.0,50,49,55,0.1,0.09,0.02,large
600519.SH,2024-01-31,10.0,10.1,9.9,10.01,1000,10.0,10.0,10.0,50,49,55,0.1,0.09,0.02,large
600519.SH,2024-02-01,10.0,10.1,9.9,10.0,1000,10.0,10.0,10.0,50,49,55,0.1,0.09,0.02,large
