code,trade_date,open_price,high_price,low_price,close_price,volume
600519.SH,2024-01-02,10.0,10.1,9.9,10.0,1000
600519.SH,2024-01-03,10.0,10.1,9.9,10.01,1000
600519.SH,2024-01-04,10.0,10.1,9.9,10.0,1000
600519.SH,2024-01-05,10.0,10.1,9.9,10.02,1000
600519.SH,2024-01-08,10.0,10.1,9.9,10.01,1000
600519.SH,2024-01-09,10.0,10.1,9.9,10.0,1000
600519.SH,2024-01-10,10.0,10.1,9.9,10.01,1000
600519.SH,2024-01-11,10.0,10.1,9.9,10.0,1000
600519.SH,2024-01-12,10.0,10.1,9.9,10.01,1000
600519.SH,2024-01-15,10.0,10.1,9.9,10.0,1000
600519.SH,2024-01-16,10.0,10.1,9.9,10.01,1000
600519.SH,2024-01-17,10.0,10.1,9.9,10.0,1000
600519.SH,2024-01-18,10.0,10.1,9.9,10.02,1000
600519.SH,2024-01-19,10.0,10.1,9.9,10.01,1000
600519.SH,2024-01-22,10.0,10.1,9.9,10.0,1000
600519.SH,2024-01-23,10.0,10.1,9.9,10.01,1000
600519.SH,2024-01-24,10.0,10.1,9.9,10.0,1000
600519.SH,2024-01-25,10.0,10.1,9.9,10.01,1000
600519.SH,2024-01-26,10.0,10.1,9.9,10.0,1000
600519.SH,2024-01-29,10.0,10.1,9.9,10.01,1000
600519.SH,2024-01-30,10.0,10.1,9.9,10.0,1000
600519.SH,2024-01-31,10.0,10.1,9.9,10.01,1000
600519.SH,2024-02-01,10.0,10.1,9.9,10.0,1000
