code,trade_date,qfq_open,qfq_high,qfq_low,qfq_close,volume,ma5,ma10,ma20,k_value,d_value,j_value,dif,dea,macd,cap_bucket
600519.SH,2024-01-02,7.98,8.08,7.9,8.0,1000,7.76,7.6,8.8,50,49,55,0.1,0.09,0.02,large
600519.SH,2024-01-03,8.0,8.1,7.92,8.02,1000,7.78,7.62,8.8,50,49,55,0.1,0.09,0.02,large
600519.SH,2024-01-04,8.02,8.1,7.93,8.01,1000,7.77,7.61,8.8,50,49,55,0.1,0.09,0.02,large
600519.SH,2024-01-05,8.01,8.11,7.93,8.03,1000,7.79,7.63,8.8,50,49,55,0.1,0.09,0.02,large
600519.SH,2024-01-08,8.03,8.28,7.95,8.2,1050,7.95,7.79,8.8,50,49,55,0.1,0.09,0.02,large
600519.SH,2024-01-09,8.2,8.3,8.12,8.22,1050,7.97,7.81,8.8,50,49,55,0.1,0.09,0.02,large
600519.SH,2024-01-10,8.22,8.33,8.14,8.25,1050,8.0,7.84,8.8,50,49,55,0.1,0.09,0.02,large
600519.SH,2024-01-11,8.25,8.35,8.17,8.27,1050,8.02,7.86,8.8,50,49,55,0.1,0.09,0.02,large
600519.SH,2024-01-12,8.27,8.38,8.19,8.3,1100,8.05,7.89,8.8,50,49,55,0.1,0.09,0.02,large
600519.SH,2024-01-15,8.3,9.39,8.22,9.3,900,9.02,8.84,8.8,50,49,55,0.1,0.09,0.02,large
600519.SH,2024-01-16,9.3,9.39,9.11,9.2,920,8.92,8.74,8.8,50,49,55,0.1,0.09,0.02,large
600519.SH,2024-01-17,9.2,9.31,9.11,9.22,940,8.94,8.76,8.8,50,49,55,0.1,0.09,0.02,large
600519.SH,2024-01-18,9.22,9.33,9.13,9.24,960,8.96,8.78,8.8,50,49,55,0.1,0.09,0.02,large
600519.SH,2024-01-19,9.24,9.35,9.15,9.26,980,8.98,8.8,8.8,50,49,55,0.1,0.09,0.02,large
600519.SH,2024-01-22,9.26,9.37,9.17,9.28,1000,9.0,8.82,8.8,50,49,55,0.1,0.09,0.02,large
600519.SH,2024-01-23,9.28,9.41,9.19,9.32,1050,9.04,8.85,8.8,50,49,55,0.1,0.09,0.02,large
600519.SH,2024-01-24,9.32,9.54,9.23,9.45,1100,9.17,8.98,8.8,50,49,55,0.1,0.09,0.02,large
600519.SH,2024-01-25,9.45,9.7,9.36,9.6,1150,9.31,9.12,8.8,50,49,55,0.1,0.09,0.02,large
600519.SH,2024-01-26,9.6,9.92,9.5,9.82,1200,9.53,9.33,8.8,50,49,55,0.1,0.09,0.02,large
600519.SH,2024-01-29,10.65,10.75,10.05,10.25,2600,9.94,9.74,8.8,50,49,55,0.1,0.09,0.02,large
600519.SH,2024-01-30,10.25,10.35,10.08,10.18,1700,9.87,9.67,8.8,50,49,55,0.1,0.09,0.02,large
600519.SH,2024-01-31,10.18,10.28,10.02,10.12,1650,9.82,9.61,8.8,50,49,55,0.1,0.09,0.02,large
600519.SH,2024-02-01,10.12,10.22,9.98,10.08,1600,9.78,9.58,8.8,50,49,55,0.1,0.09,0.02,large
