code,trade_date,open_price,high_price,low_price,close_price,volume
600519.SH,2024-01-02,7.98,8.08,7.9,8.0,1000
600519.SH,2024-01-03,8.0,8.1,7.92,8.02,1000
600519.SH,2024-01-04,8.02,8.1,7.93,8.01,1000
600519.SH,2024-01-05,8.01,8.11,7.93,8.03,1000
600519.SH,2024-01-08,8.03,8.28,7.95,8.2,1050
600519.SH,2024-01-09,8.2,8.3,8.12,8.22,1050
600519.SH,2024-01-10,8.22,8.33,8.14,8.25,1050
600519.SH,2024-01-11,8.25,8.35,8.17,8.27,1050
600519.SH,2024-01-12,8.27,8.38,8.19,8.3,1100
600519.SH,2024-01-15,8.3,9.39,8.22,9.3,900
600519.SH,2024-01-16,9.3,9.39,9.11,9.2,920
600519.SH,2024-01-17,9.2,9.31,9.11,9.22,940
600519.SH,2024-01-18,9.22,9.33,9.13,9.24,960
600519.SH,2024-01-19,9.24,9.35,9.15,9.26,980
600519.SH,2024-01-22,9.26,9.37,9.17,9.28,1000
600519.SH,2024-01-23,9.28,9.41,9.19,9.32,1050
600519.SH,2024-01-24,9.32,9.54,9.23,9.45,1100
600519.SH,2024-01-25,9.45,9.7,9.36,9.6,1150
600519.SH,2024-01-26,9.6,9.92,9.5,9.82,1200
600519.SH,2024-01-29,10.65,10.75,10.05,10.25,2600
600519.SH,2024-01-30,10.25,10.35,10.08,10.18,1700
600519.SH,2024-01-31,10.18,10.28,10.02,10.12,1650
600519.SH,2024-02-01,10.12,10.22,9.98,10.08,1600
