code,trade_date,qfq_open,qfq_high,qfq_low,qfq_close,volume,ma5,ma10,ma20,k_value,d_value,j_value,dif,dea,macd,cap_bucket
600519.SH,2024-01-02,7.98,8.08,7.9,8.0,1000,7.76,7.6,9.45,50,49,55,0.1,0.09,0.03,large
600519.SH,2024-01-03,8.0,8.1,7.92,8.02,1000,7.78,7.62,9.45,50,49,55,0.1,0.09,0.03,large
600519.SH,2024-01-04,8.02,8.1,7.93,8.01,1000,7.77,7.61,9.45,50,49,55,0.1,0.09,0.03,large
600519.SH,2024-01-05,8.01,8.11,7.93,8.03,1000,7.79,7.63,9.45,50,49,55,0.1,0.09,0.03,large
600519.SH,2024-01-08,8.03,8.28,7.95,8.2,1000,7.95,7.79,9.45,50,49,55,0.1,0.09,0.03,large
600519.SH,2024-01-09,8.2,8.3,8.12,8.22,1000,7.97,7.81,9.45,50,49,55,0.1,0.09,0.03,large
600519.SH,2024-01-10,8.22,8.33,8.14,8.25,1000,8.0,7.84,9.45,50,49,55,0.1,0.09,0.03,large
600519.SH,2024-01-11,8.25,8.35,8.17,8.27,1000,8.02,7.86,9.45,50,49,55,0.1,0.09,0.03,large
600519.SH,2024-01-12,8.27,8.38,8.19,8.3,1000,8.05,7.89,9.45,50,49,55,0.1,0.09,0.03,large
600519.SH,2024-01-15,8.3,8.89,8.22,8.8,1000,8.54,8.36,9.45,50,49,55,0.1,0.09,0.03,large
600519.SH,2024-01-16,8.8,9.34,8.71,9.25,900,8.97,8.79,9.45,50,49,55,0.1,0.09,0.03,large
600519.SH,2024-01-17,9.25,9.37,9.16,9.28,920,9.0,8.82,9.45,50,49,55,0.1,0.09,0.03,large
600519.SH,2024-01-18,9.28,9.4,9.19,9.31,940,9.03,8.84,9.45,50,49,55,0.1,0.09,0.03,large
600519.SH,2024-01-19,9.31,9.43,9.22,9.34,960,9.06,8.87,9.45,50,49,55,0.1,0.09,0.03,large
600519.SH,2024-01-22,9.34,9.46,9.25,9.37,980,9.09,8.9,9.45,50,49,55,0.1,0.09,0.03,large
600519.SH,2024-01-23,9.37,9.65,9.28,9.55,1000,9.26,9.07,9.45,50,49,55,0.1,0.09,0.03,large
600519.SH,2024-01-24,9.55,9.8,9.45,9.7,1050,9.41,9.21,9.45,50,49,55,0.1,0.09,0.03,large
600519.SH,2024-01-25,9.7,9.92,9.6,9.82,1100,9.53,9.33,9.45,50,49,55,0.1,0.09,0.03,large
600519.SH,2024-01-26,9.82,10.05,9.72,9.95,1150,9.65,9.45,9.45,50,49,55,0.1,0.09,0.04,large
600519.SH,2024-01-29,10.85,10.95,10.0,10.35,2600,10.04,9.83,9.45,50,49,95,0.1,0.09,0.02,large
600519.SH,2024-01-30,10.35,10.45,10.18,10.28,1500,9.97,9.77,9.45,50,49,55,0.1,0.09,0.03,large
600519.SH,2024-01-31,10.28,10.38,10.14,10.24,1450,9.93,9.73,9.45,50,49,55,0.1,0.09,0.03,large
600519.SH,2024-02-01,10.24,10.34,10.1,10.2,1400,9.89,9.69,9.45,50,49,55,0.1,0.09,0.03,large
