code,trade_date,open_price,high_price,low_price,close_price,volume
600519.SH,2024-01-02,9.98,10.08,9.9,10.0,1400
600519.SH,2024-01-03,10.08,10.18,10.0,10.1,1450
600519.SH,2024-01-04,10.18,10.28,10.1,10.2,1500
600519.SH,2024-01-05,10.28,10.38,10.2,10.3,1500
600519.SH,2024-01-08,10.43,10.53,10.35,10.45,1550
600519.SH,2024-01-09,10.58,10.68,10.5,10.6,1600
600519.SH,2024-01-10,10.73,10.83,10.65,10.75,1650
600519.SH,2024-01-11,10.88,10.98,10.8,10.9,1700
600519.SH,2024-01-12,11.03,11.13,10.95,11.05,1750
600519.SH,2024-01-15,11.18,11.28,11.1,11.2,1800
600519.SH,2024-01-16,11.28,11.38,11.2,11.3,1850
600519.SH,2024-01-17,11.38,11.48,11.3,11.4,1900
600519.SH,2024-01-18,11.37,11.45,11.27,11.35,1200
600519.SH,2024-01-19,11.32,11.4,11.22,11.3,1150
600519.SH,2024-01-22,11.22,11.3,11.12,11.2,1100
600519.SH,2024-01-23,11.17,11.25,11.07,11.15,1000
600519.SH,2024-01-24,11.12,11.2,11.02,11.1,950
600519.SH,2024-01-25,11.07,11.15,10.97,11.05,900
600519.SH,2024-01-26,11.02,11.1,10.92,11.0,850
600519.SH,2024-01-29,10.97,11.05,10.87,10.95,800
600519.SH,2024-01-30,11.02,11.1,10.92,11.0,900
600519.SH,2024-01-31,11.07,11.15,10.97,11.05,950
600519.SH,2024-02-01,11.1,11.18,11.0,11.08,1000
