code,trade_date,open_price,high_price,low_price,close_price,volume
600519.SH,2024-01-02,9.98,10.1,9.88,10.0,1000
600519.SH,2024-01-03,10.0,10.12,9.9,10.02,980
600519.SH,2024-01-04,10.02,10.12,9.91,10.01,1020
600519.SH,2024-01-05,10.01,10.13,9.91,10.03,1010
600519.SH,2024-01-08,10.03,10.13,9.92,10.02,990
600519.SH,2024-01-09,10.02,10.12,9.91,10.01,995
600519.SH,2024-01-10,10.01,10.14,9.91,10.04,1005
600519.SH,2024-01-11,10.04,10.14,9.93,10.03,1015
600519.SH,2024-01-12,10.03,10.13,9.92,10.02,1000
600519.SH,2024-01-15,10.02,10.15,9.92,10.05,1025
600519.SH,2024-01-16,10.05,10.15,9.94,10.04,1030
600519.SH,2024-01-17,10.04,10.14,9.93,10.03,1010
600519.SH,2024-01-18,10.03,10.15,9.93,10.05,1005
600519.SH,2024-01-19,10.05,10.15,9.94,10.04,995
600519.SH,2024-01-22,10.04,10.14,9.93,10.03,1000
600519.SH,2024-01-23,10.03,10.15,9.93,10.05,1010
600519.SH,2024-01-24,10.05,10.16,9.95,10.06,1020
600519.SH,2024-01-25,10.06,10.16,9.95,10.05,1000
600519.SH,2024-01-26,10.05,10.15,9.94,10.04,1015
600519.SH,2024-01-29,10.1,10.7,10.08,10.62,2400
600519.SH,2024-01-30,10.62,10.81,10.51,10.7,1700
600519.SH,2024-01-31,10.7,10.87,10.59,10.76,1650
600519.SH,2024-02-01,10.76,10.93,10.65,10.82,1600
