code,trade_date,qfq_open,qfq_high,qfq_low,qfq_close,volume,ma5,ma10,ma20,k_value,d_value,j_value,dif,dea,macd,cap_bucket
600519.SH,2024-01-02,8.77,8.88,8.72,8.8,900,8.7,8.65,8.6,60,58,70,0.18,0.16,0.05,large
600519.SH,2024-01-03,8.82,8.93,8.77,8.85,920,8.75,8.7,8.65,60,58,70,0.18,0.16,0.05,large
600519.SH,2024-01-04,8.87,8.98,8.82,8.9,940,8.8,8.75,8.7,60,58,70,0.18,0.16,0.05,large
600519.SH,2024-01-05,8.92,9.03,8.87,8.95,960,8.85,8.8,8.75,60,58,70,0.18,0.16,0.05,large
600519.SH,2024-01-08,8.97,9.08,8.92,9.0,980,8.9,8.85,8.8,60,58,70,0.18,0.16,0.05,large
600519.SH,2024-01-09,9.02,9.13,8.97,9.05,1000,8.95,8.9,8.85,60,58,70,0.18,0.16,0.05,large
600519.SH,2024-01-10,9.07,9.18,9.02,9.1,1020,9.0,8.95,8.9,60,58,70,0.18,0.16,0.05,large
600519.SH,2024-01-11,9.17,9.28,9.12,9.2,1040,9.1,9.05,9.0,60,58,70,0.18,0.16,0.05,large
600519.SH,2024-01-12,9.27,9.38,9.22,9.3,1060,9.2,9.15,9.1,60,58,70,0.18,0.16,0.05,large
600519.SH,2024-01-15,9.37,9.48,9.32,9.4,1080,9.3,9.25,9.2,60,58,70,0.18,0.16,0.05,large
600519.SH,2024-01-16,9.97,10.08,9.92,10.0,1000,9.95,9.88,9.95,60,58,70,0.18,0.16,0.05,large
600519.SH,2024-01-17,10.02,10.13,9.97,10.05,1000,10.0,9.93,9.95,60,58,70,0.18,0.16,0.05,large
600519.SH,2024-01-18,10.07,10.18,10.02,10.1,1000,10.05,9.98,9.95,60,58,70,0.18,0.16,0.05,large
600519.SH,2024-01-19,10.09,10.2,10.04,10.12,1000,10.07,10.0,9.95,60,58,70,0.18,0.16,0.05,large
600519.SH,2024-01-22,10.12,10.23,10.07,10.15,1000,10.1,10.03,9.95,60,58,70,0.18,0.16,0.05,large
600519.SH,2024-01-23,10.15,10.26,10.1,10.18,1000,10.13,10.06,9.95,60,58,70,0.18,0.16,0.05,large
600519.SH,2024-01-24,10.19,10.3,10.14,10.22,1000,10.17,10.1,9.95,60,58,70,0.18,0.16,0.05,large
600519.SH,2024-01-25,10.23,10.34,10.18,10.26,1000,10.21,10.14,9.95,60,58,70,0.18,0.16,0.05,large
600519.SH,2024-01-26,10.27,10.38,10.22,10.3,1000,10.25,10.18,9.95,80,78,92,0.25,0.2,0.05,large
600519.SH,2024-01-29,10.58,10.98,10.52,10.85,2600,10.25,10.1,9.95,80,78,92,0.25,0.2,0.04,large
600519.SH,2024-01-30,10.74,10.8,10.64,10.7,1300,10.25,10.1,9.95,80,78,92,0.25,0.2,0.04,large
600519.SH,2024-01-31,10.72,10.78,10.62,10.68,1200,10.25,10.1,9.95,80,78,92,0.25,0.2,0.04,large
600519.SH,2024-02-01,10.76,10.82,10.66,10.72,1250,10.25,10.1,9.95,80,78,92,0.25,0.2,0.04,large
